title,abstract,year,pmid,source
"Colorectal and Prostate Cancer Risk in Diabetes: Metformin, an Actor behind the Scene.","Both diabetes and cancer are prevalent diseases whose incidence rates are increasing worldwide, especially in countries that are undergoing rapid industrialization changes. Apparently, lifestyle risk factors including diet, physical inactivity and obesity play pivotal, yet preventable, roles in the etiology of both diseases. Epidemiological studies provide strong evidence that subjects with diabetes are at significantly higher risk of developing many forms of cancer and especially solid tumors. In addition to pancreatic and breast cancer, the incidence of colorectal cancer and prostate cancer is increased in type 2 diabetes. While diabetes (type 2) and cancer share many risk factors, the biological links between the two diseases are poorly characterized. In this review, we highlight the mechanistic pathways that link diabetes to colorectal and prostate cancer and the use of Metformin, a diabetes drug, to prevent and/or treat colorectal and prostate cancer. We review the role of AMPK activation in autophagy, oxidative stress, inflammation, apoptosis, and cell cycle progression.",2014,25368673,PubMed
Metformin and erlotinib synergize to inhibit basal breast cancer.,"Basal-like breast cancers (BBCs) are enriched for increased EGFR expression and decreased expression of PTEN. We found that treatment with metformin and erlotinib synergistically induced apoptosis in a subset of BBC cell lines. The drug combination led to enhanced reduction of EGFR, AKT, S6 and 4EBP1 phosphorylation, as well as prevented colony formation and inhibited mammosphere outgrowth. Our data with other compounds suggested that biguanides combined with EGFR inhibitors have the potential to outperform other targeted drug combinations and could be employed in other breast cancer subtypes, as well as other tumor types, with activated EGFR and PI3K signaling. Analysis of BBC cell line alterations led to the hypothesis that loss of PTEN sensitized cells to the drug combination which was confirmed using isogenic cell line models with and without PTEN expression. Combined metformin and erlotinib led to partial regression of PTEN-null and EGFR-amplified xenografted MDA-MB-468 BBC tumors with evidence of significant apoptosis, reduction of EGFR and AKT signaling, and lack of altered plasma insulin levels. Combined treatment also inhibited xenografted PTEN null HCC-70 BBC cells. Measurement of trough plasma drug levels in xenografted mice and a separately performed pharmacokinetics modeling study support possible clinical translation.",2014 Nov 15,25361177,PubMed
Metformin effects on malignant cells and healthy PBMC; the influence of metformin on the phenotype of breast cancer cells.,"The aim of research was to determine the effects of maximally therapeutically achievable concentrations of metformin on malignant cells and healthy peripheral blood mononuclear cells (PBMC). Eight patients with T2D or hyperglycemia and nine healthy volunteers were included in the study. For determination of the influence of metformin on the phenotype of breast carcinoma, 1,410 patients with surgically removed tumors were included. From this group 37 breast cancer patients had DM type 2 or hyperglycemia and were pretreated with metformin alone or sometimes in combination with other antidiabetic drugs. Our results proved that metformin at low concentrations induced mild decrease in survival of malignant cells and PBMC stimulated for proliferation, but it didn't affect survival of resting PBMC. The effects of plasma of hyperglycemic patients who were under metformin therapy on autologous PBMC-induced decrease in survival of MDA-MB-361 cells, was noticeable in some patients. Metformin pretreatment for 24 h of HER2+ MDA-MB-361 cells, which were subsequently treated for 48 h with Herceptin, induced additional decline in cell survival. The analysis of influence of metformin on phenotype of breast cancer cells revealed significantly lower number of diabetic cancer patients treated with metformin with overexpressed HER2+ tumors (p < 0.013), while the number of patients with ER+PR+ tumors was not significantly changed (p < 0.832). In conclusion, therapeutically used concentrations of metformin exhibit mild cytotoxic action on malignant and dividing normal cells pointing to its preferred role in malignant and autoimmune diseases. The use of metformin was associated with pronounced decrease in HER2 overexpressing tumors.",2015 Jul,25351941,PubMed
Chemoquiescence for ideal cancer treatment and prevention: where are we now?,"Cellular quiescence is a state of reversible cell cycle arrest and is associated with a low metabolic state featured with decreased glycolysis, reduced translation rates, and activation of autophagy, fundamentally to provide nutrients for cell survival similar as seen in hybernation. As signal for quiescence, inactivating the target of rapamycin kinase and resulting reduced cell growth and biosynthesis are essential, but cellular quiescence is not always associated with reduced metabolism since it is also possible to achieve a state of cellular quiescence in which glucose uptake, glycolysis and flux through central carbon metabolism are not reduced. However, in cancer cells, overcoming intrinsic and acquired resistance of cancer stem or cancer dormancy cells to current clinical treatments can be reversed with the acquisition of chemoquiesence. The development of new drug combinations or strategy to treat the highly aggressive and metastatic cancers including relapsed leukaemias, melanoma and head and neck, brain, lung, breast, ovary, prostate, pancreas as well as gastrointestinal cancers which remain incurable in the clinic in spite of aggressive therapies, can be accelerated with the introduction of chemoquiescence agent, for which cancer stem cells or tumor dormancy should be eradicated or removed. Recently potential applications of metformin or chloroquine as well as the potential drugs under investigation such as proton pump inhibitor, sonic hedgehog inhibitor, and Akt inhibitor, are actively investigated in this field of chemoquiescence to achieve cancer cure far beyond those of chemoprevention. In this review article, the evolving concept of chemoquiescence or cancer dormancy will be introduced accompanied by a description of novel target drug development.",2014 Jun,25337576,PubMed
Metformin may function as anti-cancer agent via targeting cancer stem cells: the potential biological significance of tumor-associated miRNAs in breast and pancreatic cancers.,"Metformin is one of the most used diabetic drugs for the management of type II diabetes mellitus (DM) in the world. Increased numbers of epidemiological and clinical studies have provided convincing evidence supporting the role of metformin in the development and progression of a variety of human tumors including breast and pancreatic cancer. Substantial pre-clinical evidence from in vitro and in vivo experimental studies strongly suggests that metformin has an anti-cancer activity mediated through the regulation of several cell signaling pathways including activation of AMP kinase (AMPK), and other direct and indirect mechanisms; however, the detailed mechanism(s) has not yet been fully understood. The concept of cancer stem cells (CSCs) has gained significant attention in recent years due its identification and defining its clinical implications in many different tumors including breast cancer and pancreatic cancer. In this review, we will discuss the protective role of metformin in the development of breast and pancreatic cancers. We will further discuss the role of metformin as an anti-cancer agent, which is in part mediated through targeting CSCs. Finally, we will discuss the potential role of metformin in the modulation of tumor-associated or CSC-associated microRNAs (miRNAs) as part of the novel mechanism of action of metformin in the development and progression of breast and pancreatic cancers.",2014 Jun,25333034,PubMed
Mechanisms by which low glucose enhances the cytotoxicity of metformin to cancer cells both in vitro and in vivo.,"Different cancer cells exhibit altered sensitivity to metformin treatment. Recent studies suggest these findings may be due in part to the common cell culture practice of utilizing high glucose, and when glucose is lowered, metformin becomes increasingly cytotoxic to cancer cells. In low glucose conditions ranging from 0 to 5 mM, metformin was cytotoxic to breast cancer cell lines MCF7, MDAMB231 and SKBR3, and ovarian cancer cell lines OVCAR3, and PA-1. MDAMB231 and SKBR3 were previously shown to be resistant to metformin in normal high glucose medium. When glucose was increased to 10 mM or above, all of these cell lines become less responsive to metformin treatment. Metformin treatment significantly reduced ATP levels in cells incubated in media with low glucose (2.5 mM), high fructose (25 mM) or galactose (25 mM). Reductions in ATP levels were not observed with high glucose (25 mM). This was compensated by enhanced glycolysis through activation of AMPK when oxidative phosphorylation was inhibited by metformin. However, enhanced glycolysis was either diminished or abolished by replacing 25 mM glucose with 2.5 mM glucose, 25 mM fructose or 25 mM galactose. These findings suggest that lowering glucose potentiates metformin induced cell death by reducing metformin stimulated glycolysis. Additionally, under low glucose conditions metformin significantly decreased phosphorylation of AKT and various targets of mTOR, while phospho-AMPK was not significantly altered. Thus inhibition of mTOR signaling appears to be independent of AMPK activation. Further in vivo studies using the 4T1 breast cancer mouse model confirmed that metformin inhibition of tumor growth was enhanced when serum glucose levels were reduced via low carbohydrate ketogenic diets. The data support a model in which metformin treatment of cancer cells in low glucose medium leads to cell death by decreasing ATP production and inhibition of survival signaling pathways. The enhanced cytotoxicity of metformin against cancer cells was observed both in vitro and in vivo.",2014,25254953,PubMed
Differential effects of metformin on breast cancer proliferation according to markers of insulin resistance and tumor subtype in a randomized presurgical trial.,"Treatment of diabetics with metformin is associated with decreased breast cancer risk in observational studies, but it remains unclear if this drug has clinical antineoplastic activity. In a recent presurgical trial, we found a heterogeneous effect of metformin on breast cancer proliferation (ki-67) depending upon insulin resistance (HOMA index). Here, we determined the associations of additional serum biomarkers of insulin resistance, tumor subtype, and drug concentration with ki-67 response to metformin. Two-hundred non-diabetic women were randomly allocated to metformin (850 mg/bid) or placebo for 4 weeks prior to breast cancer surgery. The ki-67 response to metformin was assessed comparing data obtained from baseline biopsy (ki-67 and tumor subtype) and serum markers (HOMA index, C-peptide, IGF-I, IGFBP-1, IGFBP-3, free IGF-I, hs-CRP, adiponectin) with the same measurements at definitive surgery. For patients with a blood sample taken within 24 h from last drug intake, metformin level was measured. Compared with placebo, metformin significantly decreased ki-67 in women with HOMA > 2.8, those in the lowest IGFBP-1 quintile, those in the highest IGFBP-3 quartile, those with low free IGF-I, those in the top hs-CRP tertile, and those with HER2-positive tumors. In women with HOMA index > 2.8, drug levels were positively correlated with the ki-67 decrease, whereas no trend was noted in women with HOMA < 2.8 (p-interaction = 0.07). At conventional antidiabetic doses, the effect of metformin on tumor ki-67 of non-diabetic breast cancer patients varies with host and tumor characteristics. These findings are relevant to design breast cancer prevention and treatment trials with metformin.",2014 Nov,25253174,PubMed
"Activation of EGFR, HER2 and HER3 by neurotensin/neurotensin receptor 1 renders breast tumors aggressive yet highly responsive to lapatinib and metformin in mice.","A present challenge in breast oncology research is to identify therapeutical targets which could impact tumor progression. Neurotensin (NTS) and its high affinity receptor (NTSR1) are up regulated in 20% of breast cancers, and NTSR1 overexpression was shown to predict a poor prognosis for 5 year overall survival in invasive breast carcinomas. Interactions between NTS and NTSR1 induce pro-oncogenic biological effects associated with neoplastic processes and tumor progression. Here, we depict the cellular mechanisms activated by NTS, and contributing to breast cancer cell aggressiveness. We show that neurotensin (NTS) and its high affinity receptor (NTSR1) contribute to the enhancement of experimental tumor growth and metastasis emergence in an experimental mice model. This effect ensued following EGFR, HER2, and HER3 over-expression and autocrine activation and was associated with an increase of metalloproteinase MMP9, HB-EGF and Neuregulin 2 in the culture media. EGFR over expression ensued in a more intense response to EGF on cellular migration and invasion. Accordingly, lapatinib, an EGFR/HER2 tyrosine kinase inhibitor, as well as metformin, reduced the tumor growth of cells overexpressing NTS and NTSR1. All cellular effects, such as adherence, migration, invasion, altered by NTS/NTSR1 were abolished by a specific NTSR1 antagonist. A strong statistical correlation between NTS-NTSR1-and HER3 (p< 0.0001) as well as NTS-NTSR1-and HER3- HER2 (p< 0.001) expression was found in human breast tumors. Expression of NTS/NTSR1 on breast tumoral cells creates a cellular context associated with cancer aggressiveness by enhancing epidermal growth factor receptor activity. We propose the use of labeled NTS/NTSR1 complexes to enlarge the population eligible for therapy targeting HERs tyrosine kinase inhibitor or HER2 overexpression.",2014 Sep 30,25249538,PubMed
"Lessons from the Fourth Metronomic and Anti-angiogenic Therapy Meeting, 24-25 June 2014, Milan.","The Fourth Metronomic and Anti-angiogenic Therapy Meeting was held in Milan 24-25 June 2014. The meeting was a true translational meeting where researchers and clinicians shared their results, experiences, and insights in order to continue gathering useful evidence on metronomic approaches. Several speakers emphasised that exact mechanisms of action, best timing, and optimal dosage are still not well understood and that the field would learn a lot from ancillary studies performed during the clinical trials of metronomic chemotherapies. From the pre-clinical side, new research findings indicate additional possible mechanisms of actions of metronomic schedule on the immune and blood vessel compartments of the tumour micro-environment. New clinical results of metronomic chemotherapy were presented in particular in paediatric cancers [especially neuroblastoma and central nervous system (CNS) tumours], in angiosarcoma (together with beta-blockers), in hepatocellular carcinoma, in prostate cancer, and in breast cancer. The use of repurposed drugs such as metformin, celecoxib, or valproic acid in the metronomic regimen was reported and highlighted the potential of other candidate drugs to be repurposed. The clinical experiences from low- and middle-income countries with affordable regimens gave very encouraging results which will allow more patients to be effectively treated in economies where new drugs are not accessible. Looking at the impact of metronomic approaches that have been shown to be effective, it was admitted that those approaches were rarely used in clinical practice, in part because of the absence of commercial interest for companies. However, performing well-designed clinical trials of metronomic and repurposing approaches demonstrating substantial improvement, especially in populations with the greatest unmet needs, may be an easier solution than addressing the financial issue. Metronomics should always be seen as a chance to come up with new innovative affordable approaches and not as a cheap rescue strategy.",2014,25228919,PubMed
Diabetes mellitus and ovarian cancer: more complex than just increasing risk.,"OBJECTIVE: Diabetes mellitus (DM) is a risk factor for endometrial cancer and is associated with poorer outcomes in breast and colon cancers. This association is less clear in epithelial ovarian cancer (EOC). We sought to examine the effect of DM on progression-free (PFS) and overall survival (OS) in women with EOC. METHODS: A retrospective cohort study of EOC patients diagnosed between 2004 and 2009 at a single institution was performed. Demographic, pathologic and DM diagnosis data were abstracted. Pearson chi-square test and t test were used to compare variables. The Kaplan-Meier method and the log rank test were used to compare PFS and OS between non-diabetic (ND) and DM patients. RESULTS: 62 (17%) of 367 patients had a diagnosis of DM. No differences in age, histology, debulking status, or administration of intraperitoneal chemotherapy between ND and DM patients were present, although there were more stage I and IV patients in the ND group (p=0.04). BMI was significantly different between the two groups (ND vs. DM, 27.5 vs. 30.7kg/m(2), p<0.001). While there were no differences in survival based on BMI, diabetic patients had a poorer PFS (10.3 vs. 16.3months, p=0.024) and OS (26.1 vs. 42.2months, p=0.005) compared to ND patients. Metformin use among diabetic patients did not appear to affect PFS or OS. CONCLUSIONS: EOC patients with DM have poorer survival than patients without diabetes; this association is independent of obesity. Metformin use did not affect outcomes. The pathophysiology of this observation requires more inquiry.",2014 Nov,25220626,PubMed
Metformin-induced killing of triple-negative breast cancer cells is mediated by reduction in fatty acid synthase via miRNA-193b.,"The anti-diabetic drug metformin (1,1-dimethylbiguanide hydrochloride) reduces both the incidence and mortality of several types of cancer. Metformin has been shown to selectively kill cancer stem cells, and triple-negative breast cancer (TNBC) cell lines are more sensitive to the effects of metformin as compared to luminal breast cancer. However, the mechanism underlying the enhanced susceptibility of TNBC to metformin has not been elucidated. Expression profiling of metformin-treated TNBC lines revealed fatty acid synthase (FASN) as one of the genes most significantly downregulated following 24 h of treatment, and a decrease in FASN protein was also observed. Since FASN is critical for de novo fatty acid synthesis and is important for the survival of TNBC, we hypothesized that FASN downregulation facilitates metformin-induced apoptosis. Profiling studies also exposed a rapid metformin-induced increase in miR-193 family members, and miR-193b directly targets the FASN 3'UTR. Addition of exogenous miR-193b mimic to untreated TNBC cells decreased FASN protein expression and increased apoptosis of TNBC cells, while spontaneously immortalized, non-transformed breast epithelial cells remained unaffected. Conversely, antagonizing miR-193 activity impaired the ability of metformin to decrease FASN and cause cell death. Further, the metformin-stimulated increase in miR-193 resulted in reduced mammosphere formation by TNBC lines. These studies provide mechanistic insight into metformin-induced killing of TNBC.",2014 Dec,25213330,PubMed
Dichloroacetate enhances apoptotic cell death via oxidative damage and attenuates lactate production in metformin-treated breast cancer cells.,"The unique metabolism of breast cancer cells provides interest in exploiting this phenomenon therapeutically. Metformin, a promising breast cancer therapeutic, targets complex I of the electron transport chain leading to an accumulation of reactive oxygen species (ROS) that eventually lead to cell death. Inhibition of complex I leads to lactate production, a metabolic byproduct already highly produced by reprogrammed cancer cells and associated with a poor prognosis. While metformin remains a promising cancer therapeutic, we sought a complementary agent to increase apoptotic promoting effects of metformin while attenuating lactate production possibly leading to greatly improved efficacy. Dichloroacetate (DCA) is a well-established drug used in the treatment of lactic acidosis which functions through inhibition of pyruvate dehydrogenase kinase (PDK) promoting mitochondrial metabolism. Our purpose was to examine the synergy and mechanisms by which these two drugs kill breast cancer cells. Cell lines were subjected to the indicated treatments and analyzed for cell death and various aspects of metabolism. Cell death and ROS production were analyzed using flow cytometry, Western blot analysis, and cell counting methods. Images of cells were taken with phase contrast microscopy or confocal microscopy. Metabolism of cells was analyzed using the Seahorse XF24 analyzer, lactate assays, and pH analysis. We show that when DCA and metformin are used in combination, synergistic induction of apoptosis of breast cancer cells occurs. Metformin-induced oxidative damage is enhanced by DCA through PDK1 inhibition which also diminishes metformin promoted lactate production. We demonstrate that DCA and metformin combine to synergistically induce caspase-dependent apoptosis involving oxidative damage with simultaneous attenuation of metformin promoted lactate production. Innovative combinations such as metformin and DCA show promise in expanding breast cancer therapies.",2014 Oct,25212175,PubMed
"The biguanides metformin and phenformin inhibit angiogenesis, local and metastatic growth of breast cancer by targeting both neoplastic and microenvironment cells.","The human white adipose tissue (WAT) contains progenitors with cooperative roles in breast cancer (BC) angiogenesis, local and metastatic progression. The biguanide Metformin (Met), commonly used for Type 2 diabetes, might have activity against BC and was found to inhibit angiogenesis in vivo. We studied Met and another biguanide, phenformin (Phe), in vitro and in vivo in BC models. In vitro, biguanides activated AMPK, inhibited Complex 1 of the respiratory chain and induced apoptosis of BC and WAT endothelial cells. In coculture, biguanides inhibited the production of several angiogenic proteins. In vivo, biguanides inhibited local and metastatic growth of triple negative and HER2+ BC in immune-competent and immune-deficient mice orthotopically injected with BC. Biguanides inhibited local and metastatic BC growth in a genetically engineered murine model model of HER2+ BC. In vivo, biguanides increased pimonidazole binding (but not HIF-1 expression) of WAT progenitors, reduced tumor microvessel density and altered the vascular pericyte/endothelial cell ratio, so that cancer vessels displayed a dysplastic phenotype. Phe was significantly more active than Met both in vitro and in vivo. Considering their safety profile, biguanides deserve to be further investigated for BC prevention in high-risk subjects, in combination with chemo and/or targeted therapy and/or as post-therapy consolidation or maintenance therapy for the prevention of BC recurrence.",2015 Mar 15,25196138,PubMed
Organic cation transporter/solute carrier family 22a is involved in drug transfer into milk in mice.,"Drug transfer into milk is a general concern during lactation. So far, breast cancer resistance protein (Bcrp) is the only transporter known to be involved in this process, whereas participation of other transporters remains unclear. We investigated the importance of organic cation transporter (Oct) in drug transfer into milk in mice. The mammary glands of lactating versus nonlactating FVB strain mice revealed elevated mRNA levels of Oct1 and Bcrp, whereas Oct2 and Oct3 mRNA levels were decreased. Specific uptake of cimetidine, acyclovir, metformin, and terbutaline was observed in human embryonic kidney 293 cells transfected with murine Oct1 or Oct2. The milk-to-plasma concentration ratio (M/P) values of cimetidine and acyclovir were significantly decreased in Bcrp knockout and Oct1/2 double-knockout (DKO) mice compared with control FVB mice, whereas the M/P values of terbutaline and metformin were significantly decreased in Oct1/2 DKO mice alone. These are the first to suggest that Oct1 might be involved in secretory transfer of substrate drugs into milk.",2014 Oct,25175747,PubMed
FASNating targets of metformin in breast cancer stem-like cells.,,2014 Dec,25172609,PubMed
"Glioma stem cells: markers, hallmarks and therapeutic targeting by metformin.","Malignant gliomas are among the deadliest primary brain tumors. Despite multimodal therapy and advances in chemotherapy, imaging, surgical and radiation techniques, these tumors remain virtually incurable. Glioma stem cells may be responsible for resistance to traditional therapies and tumor recurrence. Therefore, elimination of glioma stem cells may be crucial for achieving therapeutic efficacy. Metformin, a small molecule drug widely used in the therapy of type 2 diabetes, has shown significant anti-tumor effects in patients with breast cancer and prostate cancer. Recent preclinical data suggest that metformin also has therapeutic effects against glioma. Here we review the markers and hallmarks of glioma stem cells, and the molecular mechanisms involved in therapeutic targeting of glioma stem cells by metformin.",2014 Oct,25168767,PubMed
Metformin and gynecologic cancers.,"IMPORTANCE: The obese population in the United States is reaching epic proportions, and obesity is linked to an increased risk for several cancers including gynecologic cancers. Obesity is not only a risk factor but also a marker of poor prognosis. It is crucial to develop novel treatment strategies to target this population. Metformin is a biguanide drug, typically used for diabetes treatment, currently being studied to evaluate its role in the treatment and prevention of gynecologic cancers. OBJECTIVE: The aim of this study was to review the underlying biologic mechanisms of metformin's antitumorigenic effects. We assessed the epidemiologic and preclinical data that support the use of metformin in patients with endometrial and ovarian cancer. Finally, we reviewed current clinical trials that incorporate metformin as a prevention or treatment strategy for gynecologic cancers. EVIDENCE ACQUISITION: A thorough search of PubMed for all current literature was performed. All preclinical, clinical, and epidemiologic reviews were evaluated across all cancers, with a focus on gynecologic cancer. RESULTS: The preclinical, epidemiologic, and clinical data evaluated in this review are strongly supportive of the use of metformin for the prevention and treatment of gynecologic cancer. On the basis of these data, centers are currently enrolling for clinical trials using metformin in patients diagnosed with gynecologic malignancies. CONCLUSIONS AND RELEVANCE: The data supporting the use of metformin in the prevention and treatment of cancers are building, including that of endometrial and ovarian cancer. The association between obesity, insulin resistance, as well as increased risk and poor outcomes in endometrial and ovarian cancer patients makes metformin an attractive agent for the prevention and treatment of these diseases.",2014 Aug,25144611,PubMed
[Hyperglycaemia during treatment with everolimus].,"BACKGROUND: Everolimus is an orally administered anti-cancer drug that inhibits the mammalian target of rapamycin (mTOR) signal transduction route. Use of everolimus may be associated with insulin resistance, manifesting in impaired glucose tolerance or hyperglycaemia. CASE DESCRIPTION: A 74-year-old female patient with a locally recurrent breast cancer developed hyperglycaemia, which started 2 weeks after the initiation of treatment with everolimus 10 mg once daily. Metformin and insulin were administered to restore normoglycaemia. CONCLUSION: At the initiation of treatment with an mTOR inhibitor such as everolimus the treating physician should be aware of the occurrence of hyperglycaemia. Metformin is then the medicine of first choice.",2014,25115206,PubMed
Metformin suppresses CYP1A1 and CYP1B1 expression in breast cancer cells by down-regulating aryl hydrocarbon receptor expression.,"Induction of cytochrome P450 (CYP) 1A1 and CYP1B1 by environmental xenobiotic chemicals or endogenous ligands through the activation of the aryl hydrocarbon receptor (AhR) has been implicated in a variety of cellular processes related to cancer, such as transformation and tumorigenesis. Here, we investigated the effects of the anti-diabetes drug metformin on expression of CYP1A1 and CYP1B1 in breast cancer cells under constitutive and inducible conditions. Our results indicated that metformin down-regulated the expression of CYP1A1 and CYP1B1 in breast cancer cells under constitutive and 2,3,7,8-tetrachlorodibenzo-p-dioxin (TCDD)-induced conditions. Down-regulation of AhR expression was required for metformin-mediated decreases in CYP1A1 and CYP1B1 expression, and the metformin-mediated CYP1A1 and CYP1B1 reduction is irrelevant to estrogen receptor alpha (ERalpha) signaling. Furthermore, we found that metformin markedly down-regulated Sp1 protein levels in breast cancer cells. The use of genetic and pharmacological tools revealed that metformin-mediated down-regulation of AhR expression was mediated through the reduction of Sp1 protein. Metformin inhibited endogenous AhR ligand-induced CYP1A1 and CYP1B1 expression by suppressing tryptophan-2,3-dioxygenase (TDO) expression in MCF-7 cells. Finally, metformin inhibits TDO expression through a down-regulation of Sp1 and glucocorticoid receptor (GR) protein levels. Our findings demonstrate that metformin reduces CYP1A1 and CYP1B1 expression in breast cancer cells by down-regulating AhR signaling. Metformin would be able to act as a potential chemopreventive agent against CYP1A1 and CYP1B1-mediated carcinogenesis and development of cancer.",2014 Oct 1,25110054,PubMed
Metformin inhibits tumor cell migration via down-regulation of MMP9 in tamoxifen-resistant breast cancer cells.,"Metformin is the most widely used anti-diabetic drug in the world. Recent evidence indicates that metformin could potentially inhibit tumorigenesis. In the present study, we found that metformin inhibited cell migration and invasion of phorbol 12-myristate 13-acetate-induced MCF-7 and tamoxifen-resistant MCF-7 breast cancer cells. This inhibition was correlated with the modulation of matrix metalloproteinase-9 (MMP9) via the suppression of its expression and proteolytic activity. These results indicate that metformin leads to the suppression of migration and invasion through regulation of MMP9 and it may have potential as an anticancer drug for therapy in human breast cancer, especially of chemoresistant cancer cells.",2014 Aug,25075039,PubMed
Reprogramming ovarian and breast cancer cells into non-cancerous cells by low-dose metformin or SN-38 through FOXO3 activation.,"Cancer is a leading cause of death worldwide. Because the cytotoxic effects of conventional chemotherapies often harm normal tissue cells along with cancer cells, conventional chemotherapies cause many unwanted or intolerable side effects. Thus, there is an unmet medical need to establish a paradigm of chemotherapy-induced differentiation of cancer cells with tolerable side effects. Here we show that low-dose metformin or SN-38 inhibits cell growth or survival in ovarian and breast cancer cells and suppresses their tumor growth in vivo. Low-dose metformin or SN-38 increases FOXO3 nuclear localization as well as the amount of DNA damage markers and downregulates the expression of a cancer-stemness marker CD44 and other stemness markers, including Nanog, Oct-4, and c-Myc, in these cancer cells. This treatment also inhibits spheroid body-formation in 3-dimensional culture. In contrast, silencing FOXO3 diminishes all these cellular events when ovarian/breast cancer cells are treated with the mentioned drugs. These results suggest that low-dose metformin or SN-38 may reprogram these cancer cells into non-cancerous cells in a FOXO3-dependent manner, and may allow patients to overcome these cancers with minimal side effects.",2014 Jul 24,25056111,PubMed
Validating drug repurposing signals using electronic health records: a case study of metformin associated with reduced cancer mortality.,"OBJECTIVES: Drug repurposing, which finds new indications for existing drugs, has received great attention recently. The goal of our work is to assess the feasibility of using electronic health records (EHRs) and automated informatics methods to efficiently validate a recent drug repurposing association of metformin with reduced cancer mortality. METHODS: By linking two large EHRs from Vanderbilt University Medical Center and Mayo Clinic to their tumor registries, we constructed a cohort including 32,415 adults with a cancer diagnosis at Vanderbilt and 79,258 cancer patients at Mayo from 1995 to 2010. Using automated informatics methods, we further identified type 2 diabetes patients within the cancer cohort and determined their drug exposure information, as well as other covariates such as smoking status. We then estimated HRs for all-cause mortality and their associated 95% CIs using stratified Cox proportional hazard models. HRs were estimated according to metformin exposure, adjusted for age at diagnosis, sex, race, body mass index, tobacco use, insulin use, cancer type, and non-cancer Charlson comorbidity index. RESULTS: Among all Vanderbilt cancer patients, metformin was associated with a 22% decrease in overall mortality compared to other oral hypoglycemic medications (HR 0.78; 95% CI 0.69 to 0.88) and with a 39% decrease compared to type 2 diabetes patients on insulin only (HR 0.61; 95% CI 0.50 to 0.73). Diabetic patients on metformin also had a 23% improved survival compared with non-diabetic patients (HR 0.77; 95% CI 0.71 to 0.85). These associations were replicated using the Mayo Clinic EHR data. Many site-specific cancers including breast, colorectal, lung, and prostate demonstrated reduced mortality with metformin use in at least one EHR. CONCLUSIONS: EHR data suggested that the use of metformin was associated with decreased mortality after a cancer diagnosis compared with diabetic and non-diabetic cancer patients not on metformin, indicating its potential as a chemotherapeutic regimen. This study serves as a model for robust and inexpensive validation studies for drug repurposing signals using EHR data.",2015 Jan,25053577,PubMed
Deregulation of the EGFR/PI3K/PTEN/Akt/mTORC1 pathway in breast cancer: possibilities for therapeutic intervention.,"The EGFR/PI3K/PTEN/Akt/mTORC1/GSK-3 pathway plays prominent roles in malignant transformation, prevention of apoptosis, drug resistance and metastasis. The expression of this pathway is frequently altered in breast cancer due to mutations at or aberrant expression of: HER2, ERalpha, BRCA1, BRCA2, EGFR1, PIK3CA, PTEN, TP53, RB as well as other oncogenes and tumor suppressor genes. In some breast cancer cases, mutations at certain components of this pathway (e.g., PIK3CA) are associated with a better prognosis than breast cancers lacking these mutations. The expression of this pathway and upstream HER2 has been associated with breast cancer initiating cells (CICs) and in some cases resistance to treatment. The anti-diabetes drug metformin can suppress the growth of breast CICs and herceptin-resistant HER2+ cells. This review will discuss the importance of the EGFR/PI3K/PTEN/Akt/mTORC1/GSK-3 pathway primarily in breast cancer but will also include relevant examples from other cancer types. The targeting of this pathway will be discussed as well as clinical trials with novel small molecule inhibitors. The targeting of the hormone receptor, HER2 and EGFR1 in breast cancer will be reviewed in association with suppression of the EGFR/PI3K/PTEN/Akt/mTORC1/GSK-3 pathway.",2014 Jul 15,25051360,PubMed
Major clinical research advances in gynecologic cancer in 2013.,"In 2013, 10 topics were selected for major clinical research advances in gynecologic oncology; these included three topics regarding cervical cancer, three regarding ovarian cancer, two regarding endometrial cancer, and one each regarding breast cancer and radiation oncology. For cervical cancer, bevacizumab was first demonstrated to exhibit outstanding clinical efficacy in a recurrent, metastatic setting. Regarding cervical cancer screening, visual inspections with acetic acid in low-resource settings, p16/Ki-67 double staining, and the follow-up results of four randomized controlled trials of human papillomavirus-based screening methods were reviewed. Laparoscopic para-aortic lymphadenectomy before chemoradiation for locally advanced cervical cancer was the final topic for cervical cancer. Regarding front-line ovarian cancer therapies, dose-dense paclitaxel and carboplatin, intraperitoneal chemotherapy, and other targeted agents administered according to combination or maintenance schedules were discussed. Regarding recurrent ovarian cancer treatment, cediranib, olaparib, and farletuzumab were discussed for platinum-sensitive disease. The final overall survival data associated with a combination of bevacizumab and chemotherapy for platinum-resistant disease were briefly summarized. For endometrial cancer, the potential clinical efficacy of metformin, an antidiabetic drug, in obese patients was followed by integrated genomic analyses from the Cancer Genome Atlas Research Network. For breast cancer, three remarkable advances were reviewed: the long-term effects of continued adjuvant tamoxifen for 10 years, the effects of 2-year versus 1-year adjuvant trastuzumab for human epidermal growth factor receptor 2-positive disease, and the approval of pertuzumab in a neoadjuvant setting with a pathologic complete response as the surrogate endpoint. Finally, the recent large studies of intensity-modulated radiotherapy for gynecologic cancer were briefly summarized.",2014 Jul,25045437,PubMed
